Country,CountryRevenue
United Kingdom,8033588.154001097
EIRE,274810.6599999986
Netherlands,269869.3799999998
Germany,225100.06999999846
France,197699.26999999973
Australia,132090.36999999965
Spain,61558.55999999997
Switzerland,57067.600000000086
Belgium,41196.33999999997
Norway,34625.140000000036
Sweden,32625.109999999982
Portugal,29461.609999999997
Japan,25464.130000000016
Finland,21994.87999999997
Channel Islands,20147.53999999996
Denmark,18955.339999999997
Italy,17183.240000000005
Cyprus,13182.160000000002
Austria,10198.679999999997
Hong Kong,9919.190000000002
Singapore,9282.990000000002
Israel,8129.409999999994
Poland,7334.649999999997
Greece,4760.5199999999995
Unspecified,4740.939999999996
Iceland,4309.999999999997
USA,3580.3900000000012
Malta,2725.59
Canada,2581.2000000000007
United Arab Emirates,1902.2800000000007
Lebanon,1693.8800000000003
Lithuania,1661.06
European Community,1300.2500000000002
Brazil,1143.6000000000001
RSA,1002.3099999999998
Czech Republic,826.7400000000001
Bahrain,754.1400000000001
Saudi Arabia,145.92000000000002
